Movie Title,World Wide,Deomestic,Foreign
The Zone of Interest,"$44,120,432","$8,576,457","$35,543,975"
Renaissance: A Film by Beyoncé,"$43,989,684","$33,889,684","$10,100,000"
Son of a Rich 2,"$43,382,052",-,"$43,382,052"
Ferrari,"$42,285,029","$18,550,028","$23,735,001"
80 for Brady,"$40,362,938","$39,330,588","$1,032,350"
"Miraculous: Ladybug & Cat Noir, the Movie","$40,144,153",-,"$40,144,153"
My Big Fat Greek Wedding 3,"$38,831,076","$28,496,030","$10,335,046"
Past Lives,"$38,753,632","$11,185,625","$27,568,007"
The Expendables 4,"$37,917,985","$16,710,153","$21,207,832"
Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,"$37,475,850"
Smugglers,"$36,851,831",-,"$36,851,831"
Kingdom 3,"$36,259,522",-,"$36,259,522"
Ride On,"$36,258,730","$128,950","$36,129,780"
Strays,"$36,071,267","$23,988,885","$12,082,382"
Anatomy of a Fall,"$35,514,736","$5,076,369","$30,438,367"
Noryang: Deadly Sea,"$34,210,966","$315,245","$33,895,721"
Alibi.com 2,"$34,114,308",-,"$34,114,308"
The Bremen Town Musicians,"$33,772,991",-,"$33,772,991"
Priscilla,"$32,912,716","$20,960,939","$11,951,777"
Don't Call it Mystery: The Movie,"$32,488,540",-,"$32,488,540"
The Three Musketeers - Part I: D'Artagnan,"$31,842,992",-,"$31,842,992"
Tokyo MER,"$30,239,900",-,"$30,239,900"
Interstellar 2023  Re-release,"$30,093,495",-,"$30,093,495"
Concrete Utopia,"$30,078,845",-,"$30,078,845"
BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270","$21,198,613"
Book Club: The Next Chapter,"$29,014,500","$17,581,565","$11,432,935"
I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),"$28,933,626",-,"$28,933,626"
Jawan,"$28,499,044","$15,198,530","$13,300,514"
The Wish of the Fairy Fish,"$28,218,581",-,"$28,218,581"
Toy Story 2023 Re-release,"$27,503,758",-,"$27,503,758"
Renfield,"$26,493,921","$17,297,895","$9,196,026"
Gravity 2023 Re-release (10th Anniversary),"$24,981,634",-,"$24,981,634"
Shin Jigen! Crayon Shin-chan the Movie,"$23,839,864",-,"$23,839,864"
Perfect Days,"$23,612,960","$3,576,392","$20,036,568"
The Challenge,"$23,519,506",-,"$23,519,506"
American Fiction,"$22,483,370","$21,098,470","$1,384,900"
The Last Voyage of the Demeter,"$21,786,275","$13,637,180","$8,149,095"
The Three Musketeers - Part II: Milady,"$21,666,440",-,"$21,666,440"
Guy Ritchie's the Covenant,"$21,632,392","$16,938,039","$4,694,353"
"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406","$1,091,637"
Radical,"$21,301,111","$8,702,731","$12,598,380"
Saltburn,"$21,026,167","$11,425,829","$9,600,338"
Dumb Money,"$20,703,794","$13,925,356","$6,761,614"
My Happy Marriage,"$19,506,407",-,"$19,506,407"
The House of No Man,"$19,490,980",-,"$19,490,980"
All of Us Strangers,"$19,483,770","$4,050,103","$15,433,667"
Champions,"$19,159,065","$16,397,335","$2,761,730"
Retribution,"$18,685,751","$6,937,696","$11,748,055"
Next Goal Wins,"$18,648,802","$6,713,826","$11,934,976"
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,638,991",-,"$18,638,991"
Love Reset,"$18,425,289",-,"$18,425,289"
The Blackening,"$18,169,453","$17,707,207","$462,246"
About My Father,"$18,167,819","$12,089,391","$6,078,428"
Mavka: The Forest Song,"$17,896,672",-,"$17,896,672"
The Birth of Kitaro: Mystery of GeGeGe,"$17,842,454",-,"$17,842,454"
The Blind,"$17,265,487","$17,265,487",-
Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,"$17,216,567"
Hypnotic,"$16,281,937","$4,500,169","$11,781,768"
The Legend & Butterfly,"$16,087,771",-,"$16,087,771"
Die drei ??? - Erbe des Drachen,"$15,860,016",-,"$15,860,016"
Shin Kamen Rider,"$15,787,771",-,"$15,787,771"
Joy Ride,"$15,787,674","$12,897,789","$2,889,885"
Dunki,"$15,473,051","$7,460,159","$8,012,892"
Tonde Saitama: Biwako Yori Ai o Komete,"$15,107,891",-,"$15,107,891"
Only 3 Days Left,"$14,985,705",-,"$14,985,705"
Open Season,"$14,961,612",-,"$14,961,612"
A Guilty Conscience,"$14,914,575",-,"$14,914,575"
Epic Tails,"$14,854,710","$355,088","$14,499,622"
Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,"$14,584,970"
Dr. Cheon and Lost Talisman,"$14,574,445","$84,362","$14,490,083"
Sisu,"$14,281,199","$7,265,622","$7,015,577"
Rehragout-Rendezvous,"$14,127,069",-,"$14,127,069"
Ocho apellidos marroquís,"$14,094,844",-,"$14,094,844"
His Only Son,"$13,817,186","$12,392,740","$1,424,446"
Jeanne du Barry,"$13,632,476",-,"$13,632,476"
The Point Men,"$13,433,834",-,"$13,433,834"
"Manta, Manta: Legacy","$13,078,126",-,"$13,078,126"
Bottoms,"$12,966,048","$12,036,071","$929,977"
Championext,"$12,877,645",-,"$12,877,645"
Three heroes and the Navel of the Earth,"$12,818,510",-,"$12,818,510"
Love Again,"$12,696,584","$6,230,837","$6,465,747"
The Shift,"$12,164,059","$12,118,219","$45,840"
Salaar,"$11,958,548","$8,929,282","$3,029,266"
Beau Is Afraid,"$11,955,354","$8,176,562","$3,778,792"
After Death,"$11,741,075","$11,478,326","$262,749"
Tiger 3,"$11,713,932","$5,365,263","$6,348,669"
Face Off 6: The Ticket of Destiny,"$11,538,081",-,"$11,538,081"
Jungle Bunch: Operation Meltdown,"$11,307,508","$831,200","$10,476,308"
Dream Scenario,"$11,293,565","$5,742,193","$5,551,372"
Silent Night,"$11,067,228","$8,012,103","$3,055,125"
What's Love Got to Do with It?,"$11,065,050",-,"$11,065,050"
Sleep,"$10,967,729",-,"$10,967,729"
Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,"$10,876,188"
Honey Sweet,"$10,765,835",-,"$10,765,835"
The Machine,"$10,664,328","$10,458,331","$205,997"
After Everything,"$10,644,463",-,"$10,644,463"
The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,431,631","$10,251,956","$179,675"
The Crime Is Mine,"$10,370,347","$108,949","$10,261,398"
Les Segpa au ski,"$10,203,901",-,"$10,203,901"
Sun and Concrete,"$10,119,958",-,"$10,119,958"
Freelance,"$9,939,948","$5,314,136","$4,625,812"
The Peasants,"$9,916,881","$154,003","$9,762,878"
The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),"$9,736,432","$1,176,085","$8,560,347"
The Great Escaper,"$9,734,770",-,"$9,734,770"
Talk to Her Undated France Release,"$9,550,733",-,"$9,549,770"
Rafadan Tayfa 4: Hayrimatör,"$9,546,067",-,"$9,546,067"
The Braid,"$9,408,857",-,"$9,408,857"
Kandahar,"$9,387,311","$4,813,132","$4,574,179"
House Party,"$9,285,747","$9,002,247","$283,500"
All Your Faces,"$9,056,053",-,"$9,056,053"
The Animal Kingdom,"$8,938,787","$11,767","$8,927,020"
The Wandering Earth II,"$8,854,786","$5,023,132","$3,831,654"
