Movie Title,World Wide,Deomestic,imdbid,year,bt_score,submitterid,dubious,Score Category
Aladdin,346476295.0,217350219.0,6139732,2019,3,17151,0.0,Beschdel test passed
Jumanji: The Next Level,801693929.0,320314960.0,7975244,2019,1,17608,0.0,Female characters have no dialogue
How to Train Your Dragon: The Hidden World,521799505.0,160799505.0,2386490,2019,3,18905,0.0,Beschdel test passed
How to Train Your Dragon: The Hidden World,521799505.0,160799505.0,2386490,2019,2,16820,0.0,Female character's dialogue is about boys
Maleficent: Mistress of Evil,491730089.0,113929605.0,4777008,2019,3,17403,0.0,Beschdel test passed
Alita: Battle Angel,404980543.0,85838210.0,437086,2019,3,16887,0.0,Beschdel test passed
Godzilla: King of the Monsters,387300138.0,110500138.0,3741700,2019,3,17195,0.0,Beschdel test passed
1917,384580017.0,159227644.0,8579674,2019,0,17552,0.0,Less than 2 named female characters
Shazam!,365971656.0,140371656.0,448115,2019,3,17034,0.0,Beschdel test passed
Dumbo,353284621.0,114766307.0,33563,1941,2,1169,0.0,Female character's dialogue is about boys
John Wick: Chapter 3 - Parabellum,327777335.0,171015687.0,6146586,2019,1,17161,0.0,Female characters have no dialogue
Knives Out,312897920.0,165363234.0,8946378,2019,3,17452,0.0,Beschdel test passed
Terminator: Dark Fate,261119292.0,62253077.0,6450804,2019,3,17327,0.0,Beschdel test passed
Us,256022707.0,175084580.0,6857112,2019,3,16990,0.0,Beschdel test passed
Men in Black: International,253890701.0,80001807.0,2283336,2019,3,18866,0.0,Beschdel test passed
Dark Phoenix,252442974.0,65845974.0,6565702,2019,3,17180,0.0,Beschdel test passed
Glass,246999039.0,111048468.0,6823368,2019,2,21047,0.0,Female character's dialogue is about boys
Annabelle Comes Home,231252591.0,74152591.0,8350360,2019,3,17213,0.0,Beschdel test passed
Ford v Ferrari,225508210.0,117624357.0,1950186,2019,0,17384,0.0,Less than 2 named female characters
Little Women,218843645.0,108101214.0,3281548,2019,3,17527,0.0,Beschdel test passed
Little Women,218843645.0,108101214.0,41594,1949,3,3121,0.0,Beschdel test passed
Little Women,218843645.0,108101214.0,24264,1933,3,3120,0.0,Beschdel test passed
Little Women,218843645.0,108101214.0,110367,1994,3,963,0.0,Beschdel test passed
Little Women,50085123.0,50083616.0,3281548,2019,3,17527,0.0,Beschdel test passed
Little Women,50085123.0,50083616.0,41594,1949,3,3121,0.0,Beschdel test passed
Little Women,50085123.0,50083616.0,24264,1933,3,3120,0.0,Beschdel test passed
Little Women,50085123.0,50083616.0,110367,1994,3,963,0.0,Beschdel test passed
Rocketman,195320400.0,96368160.0,2066051,2019,3,18037,1.0,Dubious
Downton Abbey,194694725.0,96853865.0,6398184,2019,3,17378,0.0,Beschdel test passed
Weathering with You,192927909.0,8056636.0,9426210,2019,3,17602,0.0,Beschdel test passed
Abominable,188623517.0,60716390.0,6324278,2019,3,17427,0.0,Beschdel test passed
Ip Man 4: The Finale,176345966.0,3956031.0,2076298,2019,3,18299,0.0,Beschdel test passed
Gemini Man,173469516.0,48546770.0,1025100,2019,1,17383,0.0,Female characters have no dialogue
Spies in Disguise,171616764.0,66757013.0,5814534,2019,3,17889,0.0,Beschdel test passed
Hustlers,157563598.0,104963598.0,5503686,2019,3,17389,0.0,Beschdel test passed
Yesterday,154608856.0,73286650.0,8079248,2019,1,17507,0.0,Female characters have no dialogue
Angel Has Fallen,146661977.0,69030436.0,6189022,2019,1,19431,0.0,Female characters have no dialogue
Ad Astra,127461872.0,50188370.0,2935510,2019,1,17352,0.0,Female characters have no dialogue
