title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
Walking Tall,2004,1,0,351977,11358,56000000.0,11358,10.577565,57223890.0,Two named female character have no dialogue,24.0,25.0,0.0,13.0,18.0,3.0,"Adventure, Drama, Action, Thriller"
G.O.R.A.,2004,2,0,384116,27275,0.0,27275,2.742702,0.0,Two named female character talk only about boys,5.0,5.0,0.0,15.0,4.0,3.0,"Adventure, Comedy, Science Fiction"
Confessions of Teenage Drama Queen,2004,3,0,361467,11132,15000000.0,11132,7.423275,29331068.0,Beschdel test passed!,5.0,3.0,0.0,3.0,5.0,0.0,Comedy
Skeleton Man,2004,3,0,372832,56527,0.0,56527,1.179182,0.0,Beschdel test passed!,5.0,6.0,1.0,1.0,1.0,0.0,"Horror, Action, Thriller"
EuroTrip,2004,1,0,356150,9352,25000000.0,9352,6.275468,20796847.0,Two named female character have no dialogue,9.0,12.0,1.0,65.0,44.0,12.0,Comedy
Wild Things: Diamonds in the Rough,2005,3,0,448179,17124,0.0,17124,9.233565,0.0,Beschdel test passed!,9.0,6.0,0.0,5.0,4.0,0.0,"Crime, Drama, Mystery"
Batman Begins,2005,1,0,372784,272,150000000.0,272,28.505341,374218673.0,Two named female character have no dialogue,22.0,87.0,4.0,86.0,45.0,6.0,"Action, Crime, Drama"
Sin City,2005,3,0,401792,187,40000000.0,187,15.010525,158733820.0,Beschdel test passed!,18.0,34.0,0.0,55.0,38.0,6.0,"Action, Thriller, Crime"
Thank You for Smoking,2005,1,0,427944,9388,6500000.0,9388,9.369527,24793509.0,Two named female character have no dialogue,18.0,27.0,0.0,60.0,46.0,6.0,"Comedy, Drama"
Hard Candy,2005,3,0,424136,2652,950000.0,2652,9.62025,7022209.0,Beschdel test passed!,3.0,1.0,1.0,3.0,11.0,1.0,"Drama, Thriller"
"Good Night, and Good Luck.",2005,1,0,433383,3291,7000000.0,3291,7.523098,54600000.0,Two named female character have no dialogue,5.0,16.0,0.0,8.0,11.0,0.0,"Drama, History"
Hide and Seek,2005,3,0,382077,11096,25000000.0,11096,6.102059,122644820.0,Beschdel test passed!,5.0,5.0,0.0,19.0,13.0,2.0,"Horror, Mystery, Thriller"
"Island, The",2005,3,0,399201,1635,126000000.0,1635,11.443647,162949164.0,Beschdel test passed!,17.0,24.0,0.0,24.0,28.0,3.0,"Action, Thriller, Science Fiction, Adventure"
Brick,2005,1,0,393109,9270,475000.0,9270,9.00314,3919254.0,Two named female character have no dialogue,4.0,6.0,0.0,2.0,9.0,0.0,"Drama, Mystery"
Conversations with Other Women,2005,0,0,435623,15624,450000.0,15624,2.333661,973525.0,Two named female character not present,4.0,3.0,0.0,1.0,1.0,0.0,"Drama, Romance"
Star Wars: Episode III - Revenge of the Sith,2005,1,1,121766,1895,113000000.0,1895,13.165421,850000000.0,Dubious,22.0,35.0,3.0,4.0,11.0,0.0,"Science Fiction, Adventure, Action"
Water,2005,3,0,240200,7509,0.0,7509,2.135874,10422387.0,Beschdel test passed!,5.0,4.0,0.0,2.0,2.0,0.0,"Drama, Foreign, Romance"
King Kong,2005,0,0,360717,254,207000000.0,254,19.761164,550000000.0,Two named female character not present,11.0,22.0,1.0,17.0,18.0,3.0,"Adventure, Drama, Action"
Imagine Me &amp;amp; You,2005,3,0,421994,1544,0.0,1544,6.008971,2455831.0,Beschdel test passed!,9.0,5.0,1.0,10.0,8.0,2.0,"Drama, Comedy, Romance"
North Country,2005,3,0,395972,9701,35000000.0,9701,8.781298,25224242.0,Beschdel test passed!,9.0,8.0,0.0,4.0,8.0,0.0,Drama
Oliver Twist,2005,1,0,380599,257,50000000.0,257,12.369935,42093706.0,Two named female character have no dialogue,12.0,21.0,1.0,4.0,10.0,2.0,"Crime, Drama, Family"
"40 Year Old Virgin, The",2005,3,0,405422,6957,26000000.0,6957,11.519662,109449237.0,Beschdel test passed!,44.0,23.0,0.0,2.0,5.0,0.0,"Comedy, Romance"
"Skeleton Key, The",2005,3,0,397101,9913,43000000.0,9913,10.947957,91974818.0,Beschdel test passed!,11.0,6.0,3.0,61.0,34.0,4.0,"Drama, Horror, Mystery, Thriller"
Broken Flowers,2005,3,0,412019,308,10000000.0,308,6.589304,45742101.0,Beschdel test passed!,12.0,7.0,0.0,7.0,6.0,1.0,"Comedy, Drama, Mystery, Romance"
Casanova,2005,3,0,402894,9681,0.0,9681,11.568302,37691644.0,Beschdel test passed!,6.0,11.0,0.0,4.0,8.0,0.0,Comedy
Sophie Scholl - Die letzten Tage,2005,3,0,426578,2117,0.0,2117,4.972236,0.0,Beschdel test passed!,13.0,12.0,0.0,26.0,18.0,1.0,"Drama, History"
"Legend of Zorro, The",2005,1,0,386140,1656,75000000.0,1656,8.940007,142400065.0,Two named female character have no dialogue,6.0,11.0,0.0,4.0,15.0,0.0,"Action, Adventure"
War of the Worlds,2005,3,0,407304,74,132000000.0,74,19.929377,591739379.0,Beschdel test passed!,10.0,19.0,0.0,107.0,54.0,3.0,"Adventure, Thriller, Science Fiction"
Miss Congeniality 2: Armed &amp; Fabulous,2005,3,0,385307,10040,0.0,10040,5.739442,0.0,Beschdel test passed!,7.0,7.0,0.0,7.0,6.0,0.0,"Action, Comedy"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2005,3,0,363771,411,180000000.0,411,18.13542,748806957.0,Beschdel test passed!,9.0,14.0,1.0,10.0,14.0,5.0,"Adventure, Family, Fantasy"
Factotum,2005,1,0,417658,10475,0.0,10475,3.021445,0.0,Two named female character have no dialogue,10.0,5.0,0.0,3.0,8.0,0.0,"Comedy, Drama, Romance"
Saw II,2005,3,1,432348,215,4000000.0,215,15.399863,152925093.0,Dubious,7.0,8.0,0.0,4.0,19.0,0.0,Horror
Angel-A,2005,0,0,473753,11227,15000000.0,11227,5.512501,0.0,Two named female character not present,5.0,5.0,0.0,0.0,7.0,0.0,"Romance, Comedy, Drama, Fantasy"
Doom,2005,1,0,419706,8814,60000000.0,8814,11.953553,55987321.0,Two named female character have no dialogue,3.0,11.0,1.0,45.0,26.0,5.0,"Adventure, Action, Horror"
Kingdom of Heaven,2005,0,0,320661,1495,130000000.0,1495,16.296471,211643158.0,Two named female character not present,7.0,13.0,0.0,72.0,39.0,3.0,"Drama, Action, Adventure, History, War"
"New World, The",2005,3,1,402399,11400,30000000.0,11400,7.694502,30536013.0,Dubious,4.0,11.0,0.0,8.0,10.0,0.0,"Drama, History, Romance"
"Mostly Unfabulous Social Life of Ethan Green, The",2005,3,1,424287,33358,0.0,33358,0.767631,152810.0,Dubious,2.0,7.0,0.0,2.0,2.0,0.0,"Comedy, Romance"
Corpse Bride,2005,3,1,121164,3933,40000000.0,3933,12.920032,117195061.0,Dubious,5.0,11.0,0.0,53.0,23.0,1.0,"Romance, Fantasy, Animation, Music"
Just Like Heaven,2005,3,0,425123,9007,58000000.0,9007,8.351773,102854431.0,Beschdel test passed!,22.0,20.0,0.0,38.0,26.0,0.0,"Comedy, Fantasy, Romance"
AEon Flux,2005,3,0,402022,8202,62000000.0,8202,12.201912,52304001.0,Beschdel test passed!,24.0,26.0,2.0,8.0,12.0,1.0,"Action, Science Fiction"
